"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"15.07.2022","973,51","1.049,75","1.050,75","956,25","-7,22%"
"14.07.2022","1.049,30","1.009,25","1.061,63","1.009,25","4,01%"
"13.07.2022","1.008,80","1.019,65","1.031,66","998,74","-1,02%"
"12.07.2022","1.019,20","993,16","1.027,27","992,71","2,60%"
"11.07.2022","993,35","974,10","1.000,95","973,65","2,12%"
"08.07.2022","972,73","951,78","979,32","949,90","2,38%"
"07.07.2022","950,13","970,00","985,52","941,38","-2,00%"
"06.07.2022","969,55","953,30","994,42","950,82","1,75%"
"05.07.2022","952,85","928,75","954,75","927,43","2,64%"
"04.07.2022","928,30","932,58","933,11","925,00","-0,39%"
"01.07.2022","931,89","916,75","940,41","916,63","1,70%"
"30.06.2022","916,30","926,80","940,27","916,55","-1,05%"
"29.06.2022","926,00","911,17","931,09","906,21","1,72%"
"28.06.2022","910,35","920,59","920,97","906,40","-1,06%"
"27.06.2022","920,14","917,87","921,47","917,54","0,37%"
"24.06.2022","916,77","904,03","919,57","897,86","1,56%"
"23.06.2022","902,65","890,26","908,01","888,48","1,55%"
"22.06.2022","888,88","874,00","891,64","874,00","1,89%"
"21.06.2022","872,35","883,60","883,60","874,00","-1,11%"
"20.06.2022","882,10","876,79","885,96","870,51","0,71%"
"17.06.2022","875,86","867,10","878,24","864,15","1,10%"
"16.06.2022","866,30","857,02","875,07","856,21","1,19%"
"15.06.2022","856,08","869,03","869,54","853,23","-1,38%"
"14.06.2022","868,10","862,96","873,70","855,95","0,71%"
"13.06.2022","861,99","844,63","871,37","844,24","2,16%"
"10.06.2022","843,80","826,50","846,72","822,84","2,29%"
"09.06.2022","824,90","821,75","830,80","821,50","0,45%"
"08.06.2022","821,20","825,00","826,72","819,11","-0,34%"
"07.06.2022","824,00","822,74","833,19","821,59","0,24%"
"06.06.2022","822,05","811,80","824,04","808,91","1,35%"
"03.06.2022","811,12","813,23","817,80","807,68","-0,17%"
"02.06.2022","812,54","823,60","824,32","811,15","-1,26%"
"01.06.2022","822,92","824,21","828,09","820,25","-0,06%"
"31.05.2022","823,38","830,49","835,35","820,41","-0,79%"
"30.05.2022","829,94","826,50","831,60","819,50","0,48%"
"27.05.2022","825,95","823,82","827,13","818,53","0,24%"
"26.05.2022","824,00","832,10","834,75","822,69","-0,93%"
"25.05.2022","831,70","830,35","838,00","830,05","0,22%"
"24.05.2022","829,90","830,48","839,08","826,95","-0,00%"
"23.05.2022","829,93","836,50","836,50","826,78","-0,72%"
"20.05.2022","835,95","837,55","840,11","829,07","-0,13%"
"19.05.2022","837,00","854,72","854,78","835,72","-2,00%"
"18.05.2022","854,04","850,99","855,34","847,02","0,46%"
"17.05.2022","850,10","857,78","857,81","848,36","-0,82%"
"16.05.2022","857,09","860,40","860,74","853,95","-0,32%"
"13.05.2022","859,85","865,66","866,34","857,20","-0,61%"
"12.05.2022","865,11","862,13","872,30","861,73","0,41%"
"11.05.2022","861,58","866,85","869,81","857,18","-0,50%"
"10.05.2022","865,90","868,76","871,03","862,23","-0,13%"
"09.05.2022","867,00","858,99","871,64","858,10","1,00%"
